customer_id,age,income,tenure,last_purchase_days,avg_order_value,campaign_channel,campaign_type,sent,opened
1,56,48353,96,249,95,email,loyalty,0,1
2,69,57462,92,74,146,push,promotional,1,1
3,46,44219,48,319,130,email,loyalty,1,1
4,32,56306,39,296,73,social,loyalty,1,1
5,60,37034,40,274,82,push,promotional,1,1
6,25,47886,42,323,117,push,informational,1,0
7,38,54748,111,359,98,social,promotional,0,0
8,56,52844,104,190,41,social,promotional,1,1
9,36,25918,77,138,70,email,promotional,1,1
10,40,43414,76,302,107,email,promotional,1,1
11,28,75161,8,311,126,push,promotional,0,1
12,28,42613,79,331,127,social,promotional,0,1
13,41,50237,26,353,158,social,informational,0,1
14,53,48698,12,282,79,email,loyalty,1,1
15,57,73523,43,166,80,email,informational,1,1
16,41,69355,51,278,99,push,promotional,1,1
17,20,62112,110,26,49,social,informational,1,1
18,39,35401,91,73,99,social,loyalty,1,1
19,19,55387,82,115,94,social,informational,1,1
20,41,58519,109,51,123,social,promotional,0,0
21,61,39520,100,171,128,email,loyalty,1,1
22,47,36942,63,268,110,email,promotional,0,1
23,55,75575,49,3,100,email,promotional,0,1
24,19,45487,115,210,110,push,loyalty,1,1
25,38,74224,27,338,76,social,loyalty,1,1
26,50,64956,9,301,97,email,promotional,0,1
27,29,56118,119,342,100,social,informational,1,1
28,39,56787,39,115,97,email,loyalty,1,1
29,61,28993,65,167,94,push,informational,1,0
30,42,53101,71,265,81,email,informational,1,1
31,66,71255,90,227,69,push,loyalty,1,1
32,44,60220,71,151,93,social,informational,1,1
33,59,52315,116,268,117,email,loyalty,1,1
34,45,75679,7,116,47,email,loyalty,0,1
35,33,47224,72,88,85,email,loyalty,1,1
36,32,40706,80,318,162,social,loyalty,1,1
37,64,52307,67,242,94,push,informational,1,0
38,68,61497,109,360,104,push,informational,1,1
39,61,24233,10,329,155,email,loyalty,1,1
40,69,54273,114,333,109,social,loyalty,1,1
41,20,62155,71,40,110,push,loyalty,1,0
42,54,45955,85,182,72,push,loyalty,1,1
43,68,66604,53,209,109,push,promotional,1,1
44,24,59617,101,273,99,push,informational,0,0
45,38,82120,95,119,127,push,informational,1,1
46,26,38740,87,24,138,email,loyalty,0,0
47,56,62460,57,258,100,email,promotional,1,1
48,35,34740,91,92,111,email,promotional,1,1
49,21,25769,86,161,43,push,promotional,1,1
50,42,19467,103,149,32,push,loyalty,1,1
51,31,58074,27,117,132,push,promotional,1,1
52,67,52763,54,53,25,email,loyalty,1,1
53,26,42814,113,302,109,push,promotional,1,1
54,43,23397,4,45,94,email,loyalty,1,0
55,19,39644,88,265,136,push,loyalty,1,1
56,37,50061,23,262,98,email,informational,1,1
57,45,61897,48,307,154,social,loyalty,1,1
58,64,49751,83,234,93,push,promotional,1,0
59,24,53780,42,35,134,push,informational,1,0
