mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1196854591369629,0.003958680035776224,0.008124399185180663,0.003528064257430427,,,2,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7577460926789141,0.7648798076923077,0.7786858974358974,0.7462419871794872,0.7512419871794871,0.7597591544332186,0.01134681503074145,2
0.25136475563049315,0.007663520773844809,0.010977220535278321,0.0022195267979909206,,,2,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7521572928595622,0.7508974358974358,0.7877564102564103,0.7492067307692307,0.7457772435897436,0.7571590226744765,0.015448033781855799,8
0.4628798007965088,0.020061818971679954,0.02259669303894043,0.0034437494757178326,,,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7353263762318748,0.7577083333333333,0.7860657051282051,0.7385176282051281,0.7247516025641025,0.7484739290925287,0.02160162353483856,36
0.1222489356994629,0.011839343323666861,0.005366373062133789,6.676493327469038e-05,,,5,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7403506508169487,0.7591105769230769,0.7778205128205128,0.7484535256410256,0.7362419871794872,0.7523954506762103,0.014920302042020796,20
0.23333096504211426,0.012763748643240045,0.009366798400878906,0.0011825623089107102,,,5,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411087275601219,0.7554006410256411,0.7805849358974358,0.7420272435897436,0.7352964743589745,0.7508836044863834,0.016245089593782035,27
0.4737757682800293,0.013171155288667394,0.01924610137939453,0.002109334763980255,,,5,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7409796932208583,0.7575801282051282,0.7848717948717948,0.7432692307692308,0.7348076923076923,0.7523017078749408,0.017913606712911513,21
0.119728422164917,0.005725249980073027,0.0062273979187011715,0.0014848605791368276,,,10,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7539476443168439,0.7658173076923077,0.7838942307692308,0.7386538461538462,0.7371153846153846,0.7558856827095226,0.017527876161403628,12
0.23922715187072754,0.008232495042745867,0.008873414993286134,0.0003906872481335644,,,10,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7483669091436959,0.7757532051282051,0.7881730769230768,0.7374839743589745,0.7467147435897437,0.7592983818287392,0.01927808416963831,4
0.4489760398864746,0.012020278596270743,0.016043472290039062,0.001959506784333292,,,10,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.744979757738028,0.7693108974358974,0.7825961538461539,0.7335576923076923,0.7361378205128205,0.7533164643681184,0.019329447279056257,18
0.10279355049133301,0.006885080444463098,0.005788850784301758,0.0021150653748538257,,10,2,50,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7386893336989306,0.7415705128205128,0.7922435897435897,0.7404807692307693,0.7303685897435899,0.7486705590474785,0.022139011981432886,35
0.20158019065856933,0.00851134495357199,0.00970463752746582,0.00286083547216332,,10,2,100,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7440603880707753,0.7468429487179488,0.7972115384615385,0.7449839743589743,0.7406570512820513,0.7547511801782576,0.021324905463419624,16
0.4045576095581055,0.017043468143225424,0.013506174087524414,0.0010823136226620325,,10,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7531573089888547,0.7584294871794871,0.7825961538461538,0.735673076923077,0.7425961538461537,0.7544904361567453,0.01614181946408292,17
0.10075955390930176,0.008005531030680345,0.005972051620483398,0.0019870400768838667,,10,5,50,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7432539234503781,0.76625,0.7835897435897435,0.7324679487179487,0.749423076923077,0.7549969385362295,0.018003897422263663,15
0.213148832321167,0.02565014697338279,0.010511207580566406,0.0029250401169312527,,10,5,100,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7479959354183132,0.7634455128205129,0.7852564102564102,0.7421794871794872,0.7406730769230768,0.7559100845195601,0.016741081050752876,11
0.37307963371276853,0.007387963568012343,0.014654827117919923,0.0032247550209571745,,10,5,200,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7470765657510604,0.7678044871794871,0.7896634615384615,0.7434935897435897,0.7469391025641026,0.7589954413553401,0.01758322526953677,5
0.10003457069396973,0.0037654612596260146,0.004631662368774414,2.9239334159434602e-05,,10,10,50,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7525766544621688,0.7674679487179487,0.774150641025641,0.7474358974358973,0.7481089743589744,0.7579480232001261,0.01085649186952414,6
0.1866830348968506,0.003919972255434492,0.008236026763916016,0.0018930449629905434,,10,10,100,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7499153212148582,0.7721634615384616,0.7799198717948719,0.7451121794871796,0.7326121794871795,0.7559446027045101,0.017526896536833626,10
0.4118332862854004,0.0235717735352143,0.020352602005004883,0.008148808263006032,,10,10,200,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7490120808400136,0.7724198717948718,0.7770032051282052,0.7426923076923078,0.7363782051282051,0.7555011341167207,0.0162508030712547,13
0.12003216743469239,0.002514647745789449,0.0069316387176513675,0.002048841297777693,,20,2,50,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7504959757415444,0.7651923076923077,0.7970272435897435,0.7344551282051281,0.7328445512820513,0.756003041302155,0.02365748837074343,9
0.25829482078552246,0.02174549518278391,0.012159633636474609,0.0026512514658978735,,20,2,100,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7454313779254503,0.7673397435897436,0.7964423076923077,0.7412419871794872,0.737948717948718,0.7576808268671413,0.02193347961466177,7
0.4809274196624756,0.020004118283563854,0.02146158218383789,0.005780113811568014,,20,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7413103437152213,0.7591105769230769,0.790713141025641,0.737988782051282,0.7275080128205129,0.7513261713071469,0.022169518635310737,25
0.11948947906494141,0.0029897864256050316,0.005821704864501953,0.0011921749277500416,,20,5,50,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7377699640316779,0.7516346153846153,0.7694070512820513,0.7319471153846153,0.7293669871794872,0.7440251466524893,0.014845961639939585,54
0.230946683883667,0.010719693482099167,0.009233045578002929,0.001553953804092754,,20,5,100,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411490507911419,0.7464903846153846,0.775176282051282,0.7275801282051282,0.7321794871794871,0.7445150665684848,0.0166991061719794,53
0.463546085357666,0.019712359583461608,0.018320417404174803,0.0026672218446343785,,20,5,200,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.74049581444862,0.7559294871794872,0.7784855769230768,0.7335576923076923,0.7313942307692307,0.7479725603256214,0.01750935765011516,37
0.13736000061035156,0.022910822647033074,0.008885622024536133,0.003099394016635309,,20,10,50,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.74551202438749,0.7710096153846153,0.7914102564102563,0.7440224358974359,0.7448397435897436,0.7593588151339082,0.018977763909046985,3
0.233306360244751,0.009129930839023413,0.01296844482421875,0.005223725414604873,,20,10,100,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7407538831271472,0.775144230769231,0.7932692307692307,0.7433173076923076,0.7494070512820513,0.7603783407279936,0.02047637435140067,1
0.4711960792541504,0.03670949141085301,0.019360685348510744,0.0011206549001518318,,20,10,200,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7446410425974613,0.7676442307692308,0.7899198717948718,0.7388782051282051,0.7339583333333334,0.7550083367246205,0.020924844921183572,14
0.11035637855529785,0.0048338555516160625,0.006148242950439453,0.0017399738546391885,balanced,,2,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7316892207938838,0.7548477564102565,0.7689342948717949,0.7371394230769232,0.7510737179487179,0.7487368826203152,0.013235277715967024,34
0.22347493171691896,0.013093379479092388,0.010185480117797852,0.0017027814659961974,balanced,,2,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7383264246197518,0.7672836538461538,0.7810336538461539,0.7391266025641026,0.7328445512820513,0.7517229772316426,0.018951420333496158,24
0.43898930549621584,0.002062585877586906,0.018846988677978516,0.0032160264018091357,balanced,,2,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.742463588122389,0.7580689102564102,0.7718108974358975,0.7294391025641026,0.734775641025641,0.7473116278808881,0.01559496681605821,43
0.1168332576751709,0.004465624850282496,0.007554197311401367,0.0031457643333519603,balanced,,5,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7315037339311924,0.762940705128205,0.7737980769230769,0.7600641025641026,0.7317467948717948,0.7520106826836744,0.017263682148029327,23
0.2221137046813965,0.0030667694273020514,0.009061908721923828,0.001108187966267673,balanced,,5,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7333505379119019,0.7622115384615383,0.7666987179487178,0.7509935897435898,0.7339102564102564,0.7494329280952008,0.01388115742427609,33
0.43103227615356443,0.008818835984579197,0.019229650497436523,0.003715510418524674,balanced,,5,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7275117340602267,0.7621794871794871,0.7628685897435898,0.741346153846154,0.7360576923076924,0.74599273142743,0.014203158838089253,49
0.11318931579589844,0.0035302852873554664,0.005379390716552734,0.00021155461850751116,balanced,,10,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.73775383473927,0.7575320512820513,0.780400641025641,0.7491666666666666,0.7238782051282051,0.7497462797683667,0.019045314787985625,30
0.21856145858764647,0.010540946397706513,0.009623193740844726,0.002670134495677702,balanced,,10,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7387377215761545,0.7541346153846155,0.7767307692307692,0.7415865384615385,0.7271153846153846,0.7476610058536923,0.01688552913960469,39
0.4196341037750244,0.014485350564934883,0.017853641510009767,0.0028739012891758724,balanced,,10,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7396409619509992,0.7568750000000001,0.7656410256410257,0.7414583333333333,0.7311538461538462,0.7469538334158409,0.01249767104182996,44
0.09939398765563964,0.0017887787159023372,0.007559919357299804,0.002436548628917528,balanced,10,2,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7300601622606816,0.7568108974358975,0.7544871794871795,0.752275641025641,0.7459775641025641,0.7479222888623928,0.009632178854991225,38
0.202280855178833,0.008839062477843149,0.011099147796630859,0.003166938515062491,balanced,10,2,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7364473620542267,0.7487339743589743,0.7634455128205128,0.7520833333333333,0.7496634615384615,0.7500747288211017,0.00860795266192698,29
0.3806925773620605,0.01270182760895948,0.01694340705871582,0.002574887798240989,balanced,10,2,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7306730753721835,0.7540544871794872,0.7679807692307693,0.7405288461538462,0.7446153846153847,0.747570512510334,0.012668557413483526,41
0.09563202857971191,0.0033857010865288267,0.008087778091430664,0.002773363571907651,balanced,10,5,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7151728253681511,0.7434935897435898,0.7749839743589744,0.7428685897435898,0.7532211538461537,0.7459480266120917,0.019280066621752894,50
0.1947559356689453,0.01255902264316979,0.008460330963134765,0.0014630280233486547,balanced,10,5,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.722689075630252,0.7419391025641024,0.7756570512820513,0.7492147435897436,0.7483173076923076,0.7475634561516915,0.01698772079650787,42
0.3861504554748535,0.008043496813829525,0.015092182159423827,0.0019325865797303987,balanced,10,5,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7237374796367683,0.7428685897435898,0.7683012820512819,0.7474519230769231,0.7477724358974359,0.7460263420811998,0.014198724339557394,48
0.09248132705688476,0.0060213019277706335,0.004734659194946289,2.7554669648910092e-05,balanced,10,10,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7257052533105373,0.7653205128205128,0.7791987179487179,0.7315224358974359,0.7498557692307692,0.7503205378415947,0.02009201540302577,28
0.17919468879699707,0.007859726718164043,0.009327459335327148,0.0026459901064365848,balanced,10,10,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7336731237600607,0.7624038461538462,0.7849679487179487,0.7352083333333334,0.7477724358974358,0.752805137572525,0.019118531247501864,19
0.37141971588134765,0.0034542846098596187,0.015226030349731445,0.002308525679185731,balanced,10,10,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7263181664220391,0.756201923076923,0.7737820512820512,0.7388621794871795,0.7532051282051282,0.7496738896946642,0.016116272568924284,31
0.1152811050415039,0.005071911563809017,0.006196260452270508,0.0018424889130357802,balanced,20,2,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7173341505508152,0.7517387820512821,0.768798076923077,0.7412259615384615,0.752315705128205,0.7462825352383682,0.01695109022546968,46
0.2222757339477539,0.006821304667661877,0.010614347457885743,0.004066320751821712,balanced,20,2,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7166163970386619,0.7605608974358975,0.7823798076923076,0.7492067307692307,0.7394471153846154,0.7496421896641426,0.021844001264047345,32
0.4513386726379395,0.01347227752825832,0.018302392959594727,0.0030409502623362557,balanced,20,2,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.723793932160196,0.7544310897435897,0.7755528846153846,0.7385576923076924,0.7459054487179487,0.7476482095089623,0.01720104428844613,40
0.11425094604492188,0.007474082179134329,0.007808160781860351,0.0028509261081964494,balanced,20,5,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7237778028677883,0.7622435897435897,0.784511217948718,0.7634375,0.7261778846153846,0.7520295990350961,0.023477634050242127,22
0.22283921241760254,0.015697081599349683,0.009818220138549804,0.0014436432398580226,balanced,20,5,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7294311198567719,0.7633333333333334,0.7735096153846154,0.7542948717948719,0.735400641025641,0.7511939162790467,0.01660131711308791,26
0.43412981033325193,0.015216112443246105,0.017879009246826172,0.0036951377918080933,balanced,20,5,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7258988048194326,0.7631730769230769,0.7643269230769231,0.7471634615384616,0.733573717948718,0.7468271968613225,0.015409046584998202,45
0.11669864654541015,0.007020197897722177,0.005773401260375977,0.0010505173405529371,balanced,20,10,50,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7356247681414216,0.7509775641025641,0.7776602564102565,0.7424999999999999,0.7204807692307693,0.7454486715770022,0.018956554224757234,52
0.2184567928314209,0.0048206472185331846,0.008761024475097657,0.0007261883726779004,balanced,20,10,100,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7406087194954756,0.7499198717948719,0.7762820512820512,0.7403525641025641,0.7238621794871795,0.7462050772324285,0.01722324171654499,47
0.36830363273620603,0.015756687753407456,0.014339876174926759,0.0004935859423186834,balanced,20,10,200,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7397377377054468,0.751698717948718,0.7654647435897436,0.7395352564102564,0.732772435897436,0.7458417783103203,0.011551655721778,51
