mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009498834609985352,0.0006684194023207036,0.002219104766845703,8.045962624139602e-05,0.01,3,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7467297859642897,0.7994070512820514,0.8040865384615385,0.7604647435897436,0.7380368589743589,0.7697449956543964,0.027130823775240905,2
0.009354400634765624,0.00031885599825817344,0.002365398406982422,0.0001329191939152309,0.01,3,50,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}",0.7572783431990839,0.8021233974358974,0.7810176282051282,0.7581089743589744,0.7264423076923077,0.7649941301782783,0.025410693546057978,3
0.01424412727355957,0.00041342434443474984,0.002288675308227539,3.084388270751608e-05,0.01,3,100,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7528831110179196,0.7915464743589744,0.80375,0.7598237179487181,0.7416746794871794,0.7699355965625584,0.023673448017786904,1
0.013393545150756836,0.0008996784344082834,0.002379322052001953,0.00020002211061526286,0.01,3,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.7415038952241165,0.7929246794871795,0.7797916666666667,0.7577403846153846,0.7399679487179488,0.7623857149422592,0.020956055172588788,6
0.022689628601074218,0.00025589515742320686,0.0025843143463134765,0.00021519675213610203,0.01,3,200,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7462055839610315,0.7844711538461538,0.7957211538461539,0.7477724358974358,0.7412900641025642,0.7630920783306678,0.02243610661265642,4
0.020648384094238283,0.00033287119160414416,0.002421998977661133,9.771004234643175e-05,0.01,3,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.7300924208454975,0.7862740384615385,0.7854647435897436,0.7546233974358973,0.7468509615384615,0.7606611123742277,0.022058382868157735,8
0.016059684753417968,0.000957573969081275,0.0023292064666748046,9.081783983494679e-05,0.01,6,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7399151599219341,0.7784935897435898,0.8132371794871793,0.757948717948718,0.7232692307692308,0.7625727755741304,0.03130454356121349,5
0.016685056686401366,0.0035331793510677023,0.00246577262878418,0.00023123757688851766,0.01,6,50,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}",0.7270439845803964,0.7662820512820513,0.8073477564102565,0.7582051282051281,0.7166025641025642,0.7550962969160793,0.03204278591286427,13
0.03130640983581543,0.00420890193338865,0.002562427520751953,3.0034912391648582e-05,0.01,6,100,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7339957096082195,0.7757371794871795,0.8004326923076923,0.7610897435897436,0.7277003205128204,0.7597911291011311,0.026843707810376042,9
0.033783578872680665,0.007794144274003573,0.0032566547393798827,0.0011728331526532597,0.01,6,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.7328747237858676,0.7607211538461538,0.7930208333333333,0.7668509615384616,0.7178525641025642,0.754264047321276,0.026402698224453184,14
0.060999727249145506,0.006765481516259368,0.004443502426147461,0.0015577566699036195,0.01,6,200,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7287536895756382,0.7697916666666668,0.7890064102564103,0.7559134615384615,0.7321474358974359,0.7551225327869225,0.022746855513770342,12
0.06479253768920898,0.009104923190723362,0.003635883331298828,0.000814457924950937,0.01,6,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.7261084856207358,0.7599118589743591,0.7754086538461539,0.7748717948717948,0.7123958333333333,0.7497393253292753,0.025872722594868655,18
0.03214297294616699,0.0017077064392731329,0.004118537902832032,0.0010042726084928553,0.01,9,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7229390796625751,0.7831330128205128,0.8120192307692308,0.7547035256410257,0.7332692307692308,0.761212815932515,0.03271048920486073,7
