mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13257284164428712,0.0164039126717434,0.005843400955200195,7.982900609271105e-05,,,2,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7577460926789141,0.7648798076923077,0.7786858974358974,0.7462419871794872,0.7512419871794871,0.7597591544332186,0.01134681503074145,4
0.2702824115753174,0.010750054171065785,0.013287210464477539,0.0028115385265324202,,,2,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7521572928595622,0.7508974358974358,0.7877564102564103,0.7492067307692307,0.7457772435897436,0.7571590226744765,0.015448033781855799,15
0.48173160552978517,0.016622051682316938,0.017892217636108397,0.002638180348874673,,,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7353263762318748,0.7577083333333333,0.7860657051282051,0.7385176282051281,0.7247516025641025,0.7484739290925287,0.02160162353483856,56
0.1201695442199707,0.00867743019885161,0.00536503791809082,0.00012612307680077409,,,5,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7403506508169487,0.7591105769230769,0.7778205128205128,0.7484535256410256,0.7362419871794872,0.7523954506762103,0.014920302042020796,30
0.2391739845275879,0.006939659802929975,0.011034059524536132,0.0031125176152521964,,,5,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411087275601219,0.7554006410256411,0.7805849358974358,0.7420272435897436,0.7352964743589745,0.7508836044863834,0.016245089593782035,41
0.4663407802581787,0.0151945810849241,0.01734585762023926,0.002762654116260364,,,5,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7409796932208583,0.7575801282051282,0.7848717948717948,0.7432692307692308,0.7348076923076923,0.7523017078749408,0.017913606712911513,32
0.11677408218383789,0.0037975194674350703,0.005528497695922852,0.0007506875322991772,,,10,50,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7539476443168439,0.7658173076923077,0.7838942307692308,0.7386538461538462,0.7371153846153846,0.7558856827095226,0.017527876161403628,21
0.23401036262512206,0.013392970877933131,0.01007075309753418,0.0014455939662885336,,,10,100,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7483669091436959,0.7757532051282051,0.7881730769230768,0.7374839743589745,0.7467147435897437,0.7592983818287392,0.01927808416963831,6
0.46084022521972656,0.007377360328046451,0.015683650970458984,0.0011116551006955095,,,10,200,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.744979757738028,0.7693108974358974,0.7825961538461539,0.7335576923076923,0.7361378205128205,0.7533164643681184,0.019329447279056257,27
0.10350027084350585,0.00401621887315878,0.005127716064453125,0.0009135315221105601,,10,2,50,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7386893336989306,0.7415705128205128,0.7922435897435897,0.7404807692307693,0.7303685897435899,0.7486705590474785,0.022139011981432886,53
0.20923161506652832,0.014474337256002652,0.00874629020690918,0.0016114838684740315,,10,2,100,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7440603880707753,0.7468429487179488,0.7972115384615385,0.7449839743589743,0.7406570512820513,0.7547511801782576,0.021324905463419624,25
0.383768367767334,0.017242334631419092,0.015636777877807616,0.002383094435771901,,10,2,200,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7531573089888547,0.7584294871794871,0.7825961538461538,0.735673076923077,0.7425961538461537,0.7544904361567453,0.01614181946408292,26
